Round,Route,Cost,Trpf,SelfishAgentCount,TrpfAgentCount
16.0,2.0,53.599999999999994,-6.0,6.0,137.0
17.0,0.0,50.0,-6.0,5.0,11.0
17.0,1.0,58.400000000000006,-6.0,1.0,54.0
17.0,2.0,51.3,-6.0,7.0,122.0
18.0,0.0,50.0,-6.0,5.0,19.0
18.0,1.0,57.6,-6.0,1.0,54.0
18.0,2.0,49.7,-5.032,7.0,114.0
19.0,0.0,50.0,-6.0,6.0,16.0
19.0,1.0,57.8,-5.1,1.0,44.0
19.0,2.0,51.099999999999994,-5.047244094488189,6.0,127.0
20.0,0.0,50.0,-6.0,5.0,11.0
20.0,1.0,58.400000000000006,-4.0,1.0,36.0
20.0,2.0,53.10000000000001,-6.0,7.0,140.0
21.0,0.0,50.0,-6.0,5.0,9.0
21.0,1.0,58.6,-5.267326732673268,1.0,63.0
21.0,2.0,50.800000000000004,-5.092936802973978,7.0,115.0
22.0,0.0,50.0,-6.0,5.0,8.0
22.0,1.0,58.7,-6.0,2.0,50.0
22.0,2.0,52.2,-5.0505836575875485,6.0,129.0
23.0,0.0,50.0,-6.0,5.0,5.0
23.0,1.0,59.0,-5.094736842105263,1.0,42.0
23.0,2.0,53.7,-6.0,7.0,140.0
24.0,0.0,50.0,-6.0,4.0,5.0
24.0,1.0,59.1,-5.218181818181818,1.0,66.0
24.0,2.0,51.5,-5.084870848708487,8.0,116.0
25.0,0.0,50.0,-6.0,3.0,4.0
25.0,1.0,59.3,-6.0,1.0,54.0
25.0,2.0,53.099999999999994,-5.0534351145038165,9.0,129.0
26.0,0.0,50.0,-6.0,4.0,4.0
26.0,1.0,59.2,-5.122448979591836,1.0,42.0
26.0,2.0,54.1,-6.0,8.0,141.0
27.0,0.0,50.0,-6.0,6.0,3.0
27.0,1.0,59.1,-5.277310924369748,1.0,75.0
27.0,2.0,50.6,-5.128787878787879,6.0,109.0
28.0,0.0,50.0,-6.0,5.0,2.0
28.0,1.0,59.3,-6.0,1.0,52.0
28.0,2.0,53.3,-5.098039215686274,7.0,133.0
29.0,0.0,50.0,-6.0,6.0,1.0
29.0,1.0,59.3,-5.11578947368421,1.0,41.0
29.0,2.0,54.400000000000006,-6.0,6.0,145.0
30.0,0.0,50.0,-6.0,8.0,1.0
30.0,1.0,59.1,-5.229357798165138,1.0,66.0
30.0,2.0,51.5,-5.098181818181819,4.0,120.0
31.0,0.0,50.0,-6.0,8.0,1.0
31.0,1.0,59.1,-6.0,1.0,56.0
31.0,2.0,52.5,-5.038759689922481,4.0,130.0
32.0,0.0,50.0,-6.0,8.0,1.0
32.0,1.0,59.1,-5.163265306122449,1.0,40.0
32.0,2.0,54.1,-6.0,4.0,146.0
33.0,0.0,50.0,-6.0,9.0,1.0
33.0,1.0,59.0,-5.267857142857143,0.0,71.0
33.0,2.0,50.9,-5.115241635687732,4.0,115.0
34.0,0.0,50.0,-6.0,8.0,0.0
34.0,1.0,59.2,-6.0,0.0,58.0
34.0,2.0,52.6,-5.059288537549407,5.0,129.0
35.0,0.0,50.0,-6.0,9.0,0.0
35.0,1.0,59.1,-6.0,0.0,50.0
35.0,2.0,53.2,-6.0,4.0,137.0
36.0,0.0,50.0,-6.0,8.0,11.0
36.0,1.0,58.1,-6.0,0.0,55.0
36.0,2.0,50.7,-6.0,5.0,121.0
37.0,0.0,50.0,-6.0,8.0,16.0
37.0,1.0,57.6,-6.0,0.0,57.0
37.0,2.0,49.5,-5.0285714285714285,5.0,114.0
38.0,0.0,50.0,-6.0,8.0,11.0
38.0,1.0,58.1,-5.117647058823529,0.0,45.0
38.0,2.0,51.7,-5.066666666666666,5.0,131.0
39.0,0.0,50.0,-6.0,8.0,9.0
39.0,1.0,58.3,-4.0,0.0,37.0
39.0,2.0,52.900000000000006,-6.0,5.0,141.0
40.0,0.0,50.0,-6.0,8.0,7.0
40.0,1.0,58.5,-5.295238095238095,0.0,68.0
40.0,2.0,50.2,-5.110266159695818,5.0,112.0
41.0,0.0,50.0,-6.0,9.0,6.0
41.0,1.0,58.5,-5.162393162393163,0.0,49.0
41.0,2.0,52.1,-5.075098814229249,4.0,132.0
42.0,0.0,50.0,-6.0,9.0,5.0
42.0,1.0,58.6,-4.0,1.0,36.0
42.0,2.0,53.5,-6.0,3.0,146.0
43.0,0.0,50.0,-6.0,8.0,2.0
43.0,1.0,59.0,-5.308411214953271,1.0,69.0
43.0,2.0,51.0,-5.107806691449814,4.0,116.0
44.0,0.0,50.0,-6.0,9.0,2.0
44.0,1.0,58.900000000000006,-6.0,1.0,54.0
44.0,2.0,52.3,-5.05511811023622,3.0,131.0
45.0,0.0,50.0,-6.0,9.0,2.0
45.0,1.0,58.900000000000006,-5.0576923076923075,1.0,48.0
45.0,2.0,52.900000000000006,-6.0,3.0,137.0
46.0,0.0,50.0,-6.0,10.0,2.0
46.0,1.0,58.8,-5.246153846153846,1.0,80.0
46.0,2.0,49.5,-5.133603238866397,2.0,105.0
47.0,0.0,50.0,-6.0,10.0,2.0
47.0,1.0,58.8,-6.0,2.0,72.0
47.0,2.0,50.2,-4.0,1.0,113.0
48.0,0.0,50.0,-6.0,10.0,2.0
48.0,1.0,58.8,-6.0,2.0,61.0
48.0,2.0,51.3,-5.046025104602511,1.0,124.0
49.0,0.0,50.0,-6.0,11.0,2.0
49.0,1.0,58.7,-6.0,1.0,49.0
49.0,2.0,52.400000000000006,-6.0,1.0,136.0
50.0,0.0,50.0,-6.0,12.0,17.0
50.0,1.0,57.1,-6.0,0.0,50.0
50.0,2.0,49.2,-5.062015503875969,1.0,120.0
51.0,0.0,50.0,-6.0,12.0,10.0
51.0,1.0,57.8,-5.075268817204301,0.0,43.0
51.0,2.0,51.3,-5.0546875,1.0,134.0
52.0,0.0,50.0,-6.0,13.0,8.0
52.0,1.0,57.900000000000006,-4.0,0.0,35.0
52.0,2.0,52.3,-6.0,0.0,144.0
53.0,0.0,50.0,-6.0,12.0,8.0
53.0,1.0,58.0,-5.278350515463917,1.0,61.0
53.0,2.0,49.8,-5.099236641221374,0.0,118.0
54.0,0.0,50.0,-6.0,12.0,6.0
54.0,1.0,58.2,-6.0,1.0,51.0
54.0,2.0,51.2,-5.048387096774194,0.0,130.0
55.0,0.0,50.0,-6.0,11.0,5.0
55.0,1.0,58.400000000000006,-5.130434782608695,2.0,38.0
55.0,2.0,52.8,-6.0,0.0,144.0
56.0,0.0,50.0,-6.0,11.0,4.0
56.0,1.0,58.5,-5.2592592592592595,2.0,66.0
56.0,2.0,50.2,-5.103448275862069,0.0,117.0
57.0,0.0,50.0,-6.0,10.0,3.0
57.0,1.0,58.7,-6.0,3.0,59.0
57.0,2.0,51.2,-5.033057851239669,0.0,125.0
58.0,0.0,50.0,-6.0,10.0,2.0
58.0,1.0,58.8,-5.169811320754717,3.0,41.0
58.0,2.0,53.2,-6.0,0.0,144.0
59.0,0.0,50.0,-6.0,10.0,1.0
59.0,1.0,58.900000000000006,-5.234782608695652,3.0,68.0
59.0,2.0,50.7,-5.099236641221374,0.0,118.0
60.0,0.0,50.0,-6.0,10.0,1.0
60.0,1.0,58.900000000000006,-6.0,2.0,56.0
60.0,2.0,52.0,-5.052208835341365,1.0,130.0
61.0,0.0,50.0,-6.0,10.0,1.0
61.0,1.0,58.900000000000006,-5.09433962264151,2.0,46.0
61.0,2.0,53.0,-6.0,1.0,140.0
62.0,0.0,50.0,-6.0,11.0,1.0
62.0,1.0,58.8,-5.232,1.0,76.0
62.0,2.0,49.900000000000006,-5.119047619047619,1.0,110.0
63.0,0.0,50.0,-6.0,11.0,1.0
63.0,1.0,58.8,-6.0,1.0,64.0
63.0,2.0,51.099999999999994,-4.0,1.0,122.0
64.0,0.0,50.0,-6.0,11.0,1.0
64.0,1.0,58.8,-6.0,1.0,50.0
64.0,2.0,52.5,-5.053846153846154,1.0,136.0
65.0,0.0,50.0,-6.0,10.0,1.0
65.0,1.0,58.900000000000006,-5.159090909090909,2.0,35.0
65.0,2.0,54.10000000000001,-6.0,1.0,151.0
66.0,0.0,50.0,-6.0,12.0,1.0
66.0,1.0,58.7,-5.195652173913044,0.0,55.0
66.0,2.0,51.900000000000006,-6.0,1.0,131.0
67.0,0.0,50.0,-6.0,11.0,1.0
67.0,1.0,58.8,-6.0,1.0,84.0
67.0,2.0,49.1,-5.123404255319149,1.0,102.0
68.0,0.0,50.0,-6.0,11.0,1.0
68.0,1.0,58.8,-6.0,2.0,69.0
68.0,2.0,50.5,-4.0,0.0,117.0
69.0,0.0,50.0,-6.0,12.0,1.0
69.0,1.0,58.7,-6.0,1.0,55.0
69.0,2.0,51.8,-5.056451612903226,0.0,131.0
70.0,0.0,50.0,-6.0,12.0,1.0
70.0,1.0,58.7,-5.1313131313131315,1.0,42.0
70.0,2.0,53.099999999999994,-6.0,0.0,144.0
71.0,0.0,50.0,-6.0,12.0,1.0
71.0,1.0,58.7,-5.245614035087719,1.0,70.0
71.0,2.0,50.3,-5.107692307692307,0.0,116.0
72.0,0.0,50.0,-6.0,12.0,1.0
72.0,1.0,58.7,-6.0,1.0,59.0
72.0,2.0,51.400000000000006,-5.045267489711934,0.0,127.0
73.0,0.0,50.0,-6.0,11.0,1.0
73.0,1.0,58.8,-5.153846153846154,1.0,43.0
73.0,2.0,53.2,-6.0,1.0,143.0
74.0,0.0,50.0,-6.0,11.0,1.0
74.0,1.0,58.8,-5.228070175438597,1.0,69.0
74.0,2.0,50.6,-5.099236641221374,1.0,117.0
75.0,0.0,50.0,-6.0,12.0,1.0
75.0,1.0,58.7,-6.0,0.0,51.0
75.0,2.0,52.3,-5.070866141732283,1.0,135.0
76.0,0.0,50.0,-6.0,12.0,1.0
76.0,1.0,58.7,-5.172413793103448,0.0,36.0
76.0,2.0,53.8,-6.0,1.0,150.0
77.0,0.0,50.0,-6.0,12.0,0.0
77.0,1.0,58.8,-5.300970873786408,0.0,67.0
77.0,2.0,50.900000000000006,-5.110294117647059,1.0,120.0
78.0,0.0,50.0,-6.0,12.0,0.0
78.0,1.0,58.8,-6.0,0.0,56.0
78.0,2.0,52.0,-5.043478260869565,1.0,131.0
79.0,0.0,50.0,-6.0,12.0,0.0
79.0,1.0,58.8,-5.108910891089109,0.0,45.0
79.0,2.0,53.099999999999994,-6.0,1.0,142.0
80.0,0.0,50.0,-6.0,12.0,0.0
80.0,1.0,58.8,-5.237288135593221,0.0,73.0
80.0,2.0,50.3,-5.108527131782946,1.0,114.0
81.0,0.0,50.0,-6.0,12.0,0.0
81.0,1.0,58.8,-6.0,0.0,52.0
81.0,2.0,52.400000000000006,-5.083665338645418,1.0,135.0
82.0,0.0,50.0,-6.0,11.0,0.0
82.0,1.0,58.900000000000006,-5.061224489795919,1.0,45.0
82.0,2.0,53.2,-6.0,1.0,142.0
83.0,0.0,50.0,-6.0,10.0,0.0
83.0,1.0,59.0,-5.264,2.0,77.0
83.0,2.0,50.1,-5.125984251968504,1.0,110.0
84.0,0.0,50.0,-6.0,10.0,0.0
84.0,1.0,59.0,-6.0,2.0,67.0
84.0,2.0,51.1,-4.0,1.0,120.0
85.0,0.0,50.0,-6.0,10.0,0.0
85.0,1.0,59.0,-6.0,2.0,58.0
85.0,2.0,52.0,-5.035856573705179,1.0,129.0
86.0,0.0,50.0,-6.0,10.0,0.0
86.0,1.0,59.0,-6.0,3.0,48.0
86.0,2.0,52.9,-6.0,0.0,139.0
87.0,0.0,50.0,-6.0,10.0,19.0
87.0,1.0,57.1,-6.0,2.0,54.0
87.0,2.0,48.6,-5.094488188976378,1.0,114.0
88.0,0.0,50.0,-6.0,10.0,14.0
88.0,1.0,57.6,-5.087378640776699,2.0,45.0
88.0,2.0,50.5,-5.057377049180328,1.0,128.0
89.0,0.0,50.0,-6.0,10.0,12.0
89.0,1.0,57.8,-4.0,2.0,35.0
89.0,2.0,51.900000000000006,-6.0,1.0,140.0
90.0,0.0,50.0,-6.0,10.0,5.0
90.0,1.0,58.5,-5.333333333333333,2.0,72.0
90.0,2.0,49.6,-5.119047619047619,1.0,110.0
91.0,0.0,50.0,-6.0,10.0,2.0
91.0,1.0,58.8,-6.0,2.0,51.0
91.0,2.0,52.3,-5.097560975609756,1.0,134.0
92.0,0.0,50.0,-6.0,10.0,2.0
92.0,1.0,58.8,-5.081632653061225,2.0,43.0
92.0,2.0,53.099999999999994,-6.0,1.0,142.0
93.0,0.0,50.0,-6.0,10.0,1.0
93.0,1.0,58.900000000000006,-5.230769230769231,2.0,70.0
93.0,2.0,50.60000000000001,-5.1,1.0,116.0
94.0,0.0,50.0,-6.0,12.0,1.0
94.0,1.0,58.7,-6.0,1.0,57.0
94.0,2.0,51.599999999999994,-5.048780487804878,0.0,129.0
95.0,0.0,50.0,-6.0,10.0,1.0
95.0,1.0,58.900000000000006,-5.08411214953271,2.0,47.0
95.0,2.0,52.900000000000006,-6.0,1.0,139.0
96.0,0.0,50.0,-6.0,9.0,1.0
96.0,1.0,59.0,-5.19672131147541,2.0,71.0
96.0,2.0,50.7,-5.089494163424124,2.0,115.0
97.0,0.0,50.0,-6.0,8.0,1.0
97.0,1.0,59.1,-6.0,3.0,55.0
97.0,2.0,52.4,-5.064,2.0,131.0
98.0,0.0,50.0,-6.0,9.0,1.0
98.0,1.0,59.0,-6.0,3.0,48.0
98.0,2.0,52.9,-6.0,1.0,138.0
99.0,0.0,50.0,-6.0,9.0,19.0
99.0,1.0,57.2,-6.0,3.0,51.0
99.0,2.0,49.0,-5.081712062256809,1.0,117.0
100.0,0.0,50.0,-6.0,11.0,14.0
100.0,1.0,57.5,-5.090909090909091,2.0,43.0
100.0,2.0,50.5,-5.048387096774194,0.0,130.0
101.0,0.0,50.0,-6.0,10.0,11.0
101.0,1.0,57.900000000000006,-4.0,3.0,36.0
101.0,2.0,51.900000000000006,-6.0,0.0,140.0
102.0,0.0,50.0,-6.0,10.0,7.0
102.0,1.0,58.3,-5.327586206896552,3.0,74.0
102.0,2.0,48.900000000000006,-5.138211382113822,0.0,106.0
103.0,0.0,50.0,-6.0,11.0,5.0
103.0,1.0,58.400000000000006,-6.0,2.0,62.0
103.0,2.0,50.400000000000006,-4.0,0.0,120.0
104.0,0.0,50.0,-6.0,11.0,4.0
104.0,1.0,58.5,-6.0,2.0,48.0
104.0,2.0,52.0,-5.0588235294117645,0.0,135.0
105.0,0.0,50.0,-6.0,11.0,3.0
105.0,1.0,58.6,-5.075268817204301,2.0,41.0
105.0,2.0,52.9,-6.0,0.0,143.0
106.0,0.0,50.0,-6.0,11.0,2.0
106.0,1.0,58.7,-5.225225225225225,2.0,66.0
106.0,2.0,50.599999999999994,-5.091603053435114,0.0,119.0
107.0,0.0,50.0,-6.0,10.0,2.0
107.0,1.0,58.8,-6.0,3.0,52.0
107.0,2.0,52.099999999999994,-5.055555555555555,0.0,133.0
108.0,0.0,50.0,-6.0,10.0,2.0
108.0,1.0,58.8,-5.134020618556701,3.0,39.0
108.0,2.0,53.400000000000006,-6.0,0.0,146.0
109.0,0.0,50.0,-6.0,10.0,0.0
109.0,1.0,59.0,-5.25,2.0,68.0
109.0,2.0,51.0,-5.097744360902255,1.0,119.0
110.0,0.0,50.0,-6.0,10.0,0.0
110.0,1.0,59.0,-6.0,2.0,52.0
110.0,2.0,52.6,-5.0625,1.0,135.0
111.0,0.0,50.0,-6.0,11.0,0.0
111.0,1.0,58.900000000000006,-5.11340206185567,1.0,42.0
111.0,2.0,53.5,-6.0,1.0,145.0
112.0,0.0,50.0,-6.0,10.0,0.0
112.0,1.0,59.0,-5.277310924369748,1.0,75.0
112.0,2.0,50.4,-5.123076923076923,2.0,112.0
113.0,0.0,50.0,-6.0,10.0,0.0
113.0,1.0,59.0,-6.0,1.0,57.0
113.0,2.0,52.2,-5.073170731707317,2.0,130.0
114.0,0.0,50.0,-6.0,11.0,0.0
114.0,1.0,58.900000000000006,-5.12621359223301,0.0,45.0
114.0,2.0,53.3,-6.0,2.0,142.0
115.0,0.0,50.0,-6.0,10.0,0.0
115.0,1.0,59.0,-5.196428571428571,0.0,67.0
115.0,2.0,51.3,-5.078651685393258,3.0,120.0
116.0,0.0,50.0,-6.0,11.0,0.0
116.0,1.0,58.900000000000006,-6.0,0.0,54.0
116.0,2.0,52.400000000000006,-5.046511627906977,2.0,133.0
117.0,0.0,50.0,-6.0,11.0,0.0
117.0,1.0,58.900000000000006,-5.08,0.0,46.0
117.0,2.0,53.2,-6.0,2.0,141.0
118.0,0.0,50.0,-6.0,9.0,0.0
118.0,1.0,59.1,-5.206896551724138,2.0,68.0
118.0,2.0,51.2,-5.083333333333333,2.0,119.0
119.0,0.0,50.0,-6.0,10.0,0.0
119.0,1.0,59.0,-6.0,2.0,56.0
119.0,2.0,52.2,-5.043478260869565,1.0,131.0
120.0,0.0,50.0,-6.0,10.0,0.0
120.0,1.0,59.0,-5.137254901960785,2.0,42.0
120.0,2.0,53.6,-6.0,1.0,145.0
121.0,0.0,50.0,-6.0,13.0,0.0
121.0,1.0,58.7,-5.254237288135593,0.0,74.0
121.0,2.0,50.0,-5.127413127413128,0.0,113.0
122.0,0.0,50.0,-6.0,13.0,0.0
122.0,1.0,58.7,-6.0,0.0,58.0
122.0,2.0,51.599999999999994,-5.066115702479339,0.0,129.0
123.0,0.0,50.0,-6.0,13.0,0.0
123.0,1.0,58.7,-5.12621359223301,0.0,45.0
123.0,2.0,52.900000000000006,-6.0,0.0,142.0
124.0,0.0,50.0,-6.0,13.0,0.0
124.0,1.0,58.7,-5.25,0.0,75.0
124.0,2.0,49.900000000000006,-5.118110236220472,0.0,112.0
125.0,0.0,50.0,-6.0,13.0,0.0
125.0,1.0,58.7,-6.0,0.0,58.0
125.0,2.0,51.599999999999994,-5.070539419087137,0.0,129.0
126.0,0.0,50.0,-6.0,13.0,0.0
126.0,1.0,58.7,-5.09433962264151,0.0,48.0
126.0,2.0,52.599999999999994,-6.0,0.0,139.0
127.0,0.0,50.0,-6.0,12.0,0.0
127.0,1.0,58.8,-5.225806451612903,1.0,75.0
127.0,2.0,50.0,-5.107569721115538,0.0,112.0
128.0,0.0,50.0,-6.0,13.0,0.0
128.0,1.0,58.7,-6.0,0.0,63.0
128.0,2.0,51.099999999999994,-4.0,0.0,124.0
129.0,0.0,50.0,-6.0,13.0,0.0
129.0,1.0,58.7,-6.0,0.0,54.0
129.0,2.0,52.0,-5.035019455252918,0.0,133.0
130.0,0.0,50.0,-6.0,13.0,0.0
130.0,1.0,58.7,-5.11340206185567,0.0,43.0
130.0,2.0,53.099999999999994,-6.0,0.0,144.0
131.0,0.0,50.0,-6.0,12.0,0.0
131.0,1.0,58.8,-5.277310924369748,0.0,76.0
131.0,2.0,50.0,-5.125,1.0,111.0
132.0,0.0,50.0,-6.0,11.0,0.0
132.0,1.0,58.900000000000006,-6.0,0.0,57.0
132.0,2.0,52.10000000000001,-5.081967213114754,2.0,130.0
133.0,0.0,50.0,-6.0,11.0,0.0
133.0,1.0,58.900000000000006,-5.14,0.0,43.0
133.0,2.0,53.5,-6.0,2.0,144.0
134.0,0.0,50.0,-6.0,11.0,0.0
134.0,1.0,58.900000000000006,-5.264957264957265,0.0,74.0
134.0,2.0,50.400000000000006,-5.118773946360153,2.0,113.0
135.0,0.0,50.0,-6.0,11.0,0.0
135.0,1.0,58.900000000000006,-6.0,0.0,60.0
135.0,2.0,51.8,-5.057377049180328,2.0,127.0
136.0,0.0,50.0,-6.0,11.0,0.0
136.0,1.0,58.900000000000006,-5.121495327102804,0.0,47.0
136.0,2.0,53.10000000000001,-6.0,2.0,140.0
137.0,0.0,50.0,-6.0,11.0,0.0
137.0,1.0,58.900000000000006,-5.203389830508475,0.0,71.0
137.0,2.0,50.7,-5.092307692307692,2.0,116.0
138.0,0.0,50.0,-6.0,11.0,0.0
138.0,1.0,58.900000000000006,-6.0,1.0,60.0
138.0,2.0,51.7,-5.040650406504065,1.0,127.0
139.0,0.0,50.0,-6.0,11.0,0.0
139.0,1.0,58.900000000000006,-6.0,1.0,55.0
139.0,2.0,52.2,-6.0,1.0,132.0
140.0,0.0,50.0,-6.0,11.0,10.0
140.0,1.0,57.900000000000006,-6.0,1.0,52.0
140.0,2.0,50.5,-6.0,1.0,125.0
141.0,0.0,50.0,-6.0,11.0,21.0
141.0,1.0,56.8,-6.0,1.0,49.0
141.0,2.0,48.6,-5.032786885245901,1.0,117.0
142.0,0.0,50.0,-6.0,11.0,15.0
142.0,1.0,57.400000000000006,-5.075268817204301,1.0,42.0
142.0,2.0,50.5,-5.052208835341365,1.0,130.0
143.0,0.0,50.0,-6.0,11.0,12.0
143.0,1.0,57.7,-4.0,1.0,35.0
143.0,2.0,51.8,-6.0,1.0,140.0
144.0,0.0,50.0,-6.0,11.0,9.0
144.0,1.0,58.0,-5.339449541284404,1.0,72.0
144.0,2.0,48.7,-5.137096774193548,1.0,106.0
145.0,0.0,50.0,-6.0,11.0,6.0
145.0,1.0,58.3,-6.0,0.0,59.0
145.0,2.0,50.7,-4.0,2.0,122.0
146.0,0.0,50.0,-6.0,11.0,5.0
146.0,1.0,58.400000000000006,-5.113207547169812,0.0,47.0
146.0,2.0,52.10000000000001,-5.049808429118774,2.0,135.0
147.0,0.0,50.0,-6.0,11.0,2.0
147.0,1.0,58.7,-4.0,1.0,34.0
147.0,2.0,53.900000000000006,-6.0,1.0,151.0
148.0,0.0,50.0,-6.0,11.0,2.0
148.0,1.0,58.7,-5.25531914893617,1.0,58.0
148.0,2.0,51.5,-6.0,1.0,127.0
149.0,0.0,50.0,-6.0,11.0,2.0
149.0,1.0,58.7,-6.0,1.0,81.0
149.0,2.0,49.2,-5.098712446351931,1.0,104.0
150.0,0.0,50.0,-6.0,11.0,2.0
150.0,1.0,58.7,-6.0,1.0,66.0
150.0,2.0,50.7,-4.0,1.0,119.0
151.0,0.0,50.0,-6.0,11.0,2.0
151.0,1.0,58.7,-6.0,1.0,52.0
151.0,2.0,52.099999999999994,-5.05511811023622,1.0,133.0
152.0,0.0,50.0,-6.0,11.0,2.0
152.0,1.0,58.7,-5.092783505154639,1.0,43.0
152.0,2.0,53.0,-6.0,1.0,142.0
153.0,0.0,50.0,-6.0,10.0,2.0
153.0,1.0,58.8,-5.247863247863248,2.0,71.0
153.0,2.0,50.3,-5.108527131782946,1.0,114.0
154.0,0.0,50.0,-6.0,10.0,2.0
154.0,1.0,58.8,-6.0,2.0,51.0
154.0,2.0,52.3,-5.08,1.0,134.0
155.0,0.0,50.0,-6.0,11.0,1.0
155.0,1.0,58.8,-5.03921568627451,0.0,49.0
155.0,2.0,52.7,-6.0,2.0,137.0
156.0,0.0,50.0,-6.0,11.0,1.0
156.0,1.0,58.8,-5.183333333333334,0.0,71.0
156.0,2.0,50.5,-5.0859375,2.0,115.0
157.0,0.0,50.0,-6.0,11.0,1.0
157.0,1.0,58.8,-6.0,0.0,55.0
157.0,2.0,52.099999999999994,-5.064,2.0,131.0
158.0,0.0,50.0,-6.0,11.0,1.0
158.0,1.0,58.8,-5.089108910891089,0.0,46.0
158.0,2.0,53.0,-6.0,2.0,140.0
159.0,0.0,50.0,-6.0,12.0,0.0
159.0,1.0,58.8,-5.226890756302521,0.0,73.0
159.0,2.0,50.3,-5.1050583657587545,1.0,114.0
160.0,0.0,50.0,-6.0,11.0,0.0
160.0,1.0,58.900000000000006,-6.0,0.0,59.0
160.0,2.0,51.900000000000006,-5.061224489795919,2.0,128.0
161.0,0.0,50.0,-6.0,11.0,0.0
161.0,1.0,58.900000000000006,-5.145631067961165,0.0,44.0
161.0,2.0,53.400000000000006,-6.0,2.0,143.0
162.0,0.0,50.0,-6.0,12.0,0.0
162.0,1.0,58.8,-5.247863247863248,1.0,72.0
162.0,2.0,50.3,-5.115384615384615,0.0,115.0
163.0,0.0,50.0,-6.0,12.0,0.0
163.0,1.0,58.8,-6.0,1.0,58.0
163.0,2.0,51.7,-5.057377049180328,0.0,129.0
164.0,0.0,50.0,-6.0,11.0,0.0
164.0,1.0,58.900000000000006,-6.0,2.0,52.0
164.0,2.0,52.400000000000006,-6.0,0.0,135.0
165.0,0.0,50.0,-6.0,12.0,15.0
165.0,1.0,57.3,-5.069306930693069,1.0,46.0
165.0,2.0,49.900000000000006,-6.0,0.0,126.0
166.0,0.0,50.0,-6.0,11.0,10.0
166.0,1.0,57.900000000000006,-5.229508196721311,1.0,74.0
166.0,2.0,48.3,-5.095652173913043,1.0,103.0
167.0,0.0,50.0,-6.0,12.0,7.0
167.0,1.0,58.1,-6.0,1.0,64.0
167.0,2.0,49.7,-4.0,0.0,116.0
168.0,0.0,50.0,-6.0,12.0,7.0
168.0,1.0,58.1,-6.0,1.0,53.0
168.0,2.0,50.800000000000004,-5.045267489711934,0.0,127.0
169.0,0.0,50.0,-6.0,12.0,3.0
169.0,1.0,58.5,-5.090909090909091,1.0,44.0
169.0,2.0,52.5,-6.0,0.0,140.0
170.0,0.0,50.0,-6.0,12.0,3.0
170.0,1.0,58.5,-5.3076923076923075,1.0,84.0
170.0,2.0,48.5,-5.166666666666667,0.0,100.0
171.0,0.0,50.0,-6.0,12.0,3.0
